Speaker_Name,Speech_Date,Speech_Title,Speech_URL
Derville Rowland,30 November 2023,"

                                Private Assets: A changing European landscape - remarks by Deputy Governor Derville Rowland at the Irish Funds, 10th Annual UK Symposium

                            ",https://www.centralbank.ie/news/article/private-assets--a-changing-european-landscape---remarks-by-deputy-governor-derville-rowland-at-the-irish-funds--10th-annual-uk-symposium
Patricia-Dunne_testimonial_756x350,28 November 2023,"

                                ""Navigating Market Abuse and Regulatory Surveillance"" - Remarks by Patricia Dunne, Director of Securities and Markets Supervision at the Bloomberg Vault and CBI Seminar

                            ",https://www.centralbank.ie/news/article/remarks-by-patricia-dunne-director-of-securities-and-markets-supervision-at-the-bloomberg-event
Gabriel Makhlouf,23 November 2023,"

                                Opening remarks at Financial Stability Review press conference – Governor Gabriel Makhlouf

                            ",https://www.centralbank.ie/news/article/opening-remarks-financial-stability-review-press-conference-governor-makhlouf-23-november-2023
Gerry Cross,23 November 2023,"

                                “Implementing DORA” - Remarks by Gerry Cross, Director of Financial Regulation – Policy and Risk

                            ",https://www.centralbank.ie/news/article/speech-implementing-dora-speech-by-gerry-cross--director-of-financial-regulation-policy-and-risk-23-nov-2023
Sharon Donnery,21 November 2023,"

                                ""Walking the path – the transition to Net-Zero"" -&nbsp; Remarks by Deputy Governor Sharon Donnery at Climate Finance Week

                            ",https://www.centralbank.ie/news/article/speech-sharon-donnerywalking-the-path-the-transition-to-net-zero-21-november-2023
Sharon Donnery,14 November 2023,"

                                “Maintaining stability in the face of volatility – financial regulation in a rapidly changing world” - Remarks by Deputy Governor Sharon Donnery at The Compliance Institute annual conference

                            ",https://www.centralbank.ie/news/article/maintaining-stability-in-the-face-of-volatility-financial-regulation-in-a-rapidly-changing-world-remarks-by-sharon-donnery
Gabriel Makhlouf,11 November 2023,"

                                “The changing landscape for financial services”
Remarks by Gabriel Makhlouf, Governor of the Central Bank of Ireland 
At the Irish League Credit Unions Conference

                            ",https://www.centralbank.ie/news/article/the-changing-landscape-for-financial-services--remarks-by-gabriel-makhlouf--governor-of-the-central-bank-of-ireland--at-the-irish-league-credit-unions-conference
Patricia-Dunne_testimonial_756x350,09 November 2023,"

                                “An evolving supervisory approach in the funds sector” - Remarks by Patricia Dunne, Director of Securities and Markets Supervision at the Irish Funds Asset Manager Forum

                            ",https://www.centralbank.ie/news/article/evolving-supervisory-approach-funds-sector-remarks-by-patricia-dunne-at-irish-funds-asset-manager-forum-9-november-2023
Gabriel Makhlouf,08 November 2023,"

                                Putting principles into practice: how regulation responds to change - Remarks by Governor Makhlouf at the Financial System Conference

                            ",https://www.centralbank.ie/news/article/gabriel-makhlouf-financial-system-conference-8-november-2023
Colm Kincaid,26 October 2023,"

                                New Frontiers in Business Ethics - Remarks by Colm Kincaid, Director of Consumer Protection

                            ",https://www.centralbank.ie/news/article/speech-new-frontiers-in-business-ethics-colm-kincaid-director-of-consumer-protection-26-october-2023
Derville Rowland,28 September 2023,"

                                Dynamic change in uncertain times: Balancing opportunity and risk- Remarks by Derville Rowland, Deputy Governor Consumer and Investor Protection

                            ",https://www.centralbank.ie/news/article/dynamic-change-in-uncertain-times--balancing-opportunity-and-risk--remarks-by-derville-rowland--deputy-governor-consumer-and-investor-protection
Patricia-Dunne_testimonial_756x350,27 September 2023,"

                                Sustainable Finance in Practice for Fund Managers - Remarks by Patricia Dunne, Director of Securities and Markets Supervision

                            ",https://www.centralbank.ie/news/article/speech-sustainable-finance-in-practice-for-fund-managers-remarks-by-patricia-dunne--director-of-securities-and-markets-supervision-27-sep-2023
Vasileios Madouros,22 September 2023,"

                                Managing domestic risks in an uncertain world -&nbsp; Vasileios Madouros, Deputy Governor, Monetary and Financial Stability

                            ",https://www.centralbank.ie/news/article/managing-domestic-risks-in-an-uncertain-world-vasileios-madouros-deputy-governor-22-september-2023
Gabriel Makhlouf,21 September 2023,"

                                Labour market dynamics and the inflation outlook - Remarks by Governor Gabriel Makhlouf at University of Galway

                            ",https://www.centralbank.ie/news/article/speech-labour-market-dynamics-and-the-inflation-outlook-remarks-governor-makhlouf-university-galway-21-sept-2023
Gabriel Makhlouf,20 September 2023,"

                                Opening Statement by Governor Gabriel Makhlouf at the Joint Oireachtas Committee on Finance, Public Expenditure and Reform, and Taoiseach

                            ",https://www.centralbank.ie/news/article/opening-statement-governor-makhlouf-at-joint-oireachtas-committee-on-finance-21-setpember-2023
Testimonila_RobKelly_756x350,19 September 2023,"

                                Opening Statement by Robert Kelly, Director of Economics &amp; Statistics, at the Oireachtas Committee on Budgetary Oversight

                            ",https://www.centralbank.ie/news/article/opening-statement-by-robert-kelly-at-committee-on-budgetary-oversight-19-september-2023
Vasileios Madouros,01 September 2023,"

                                Navigating the risks of geo-economic fragmentation - remarks by Vasileios Madouros, Deputy Governor, Monetary and Financial Stability

                            ",https://www.centralbank.ie/news/article/navigating-risks-geo-economic-fragmentation-remarks-vasileios-madouros-deputy-governor-1-september-2023
Colm Kincaid,12 July 2023,"

                                Opening remarks by Director of Consumer Protection, Colm Kincaid, at Oireachtas Committee on Finance, Public Expenditure and Reform, and Taoiseach

                            ",https://www.centralbank.ie/news/article/speech-opening-remarks-by-director-of-consumer-protection-colm-kincaid-at-oireachtas-committee-on-finance-public-expenditure-and-reform-and-taoiseach-12-Jul-2023
Seana Cunningham,05 July 2023,"

                                Enhancements to the Central Bank’s Administrative Sanctions Procedure - Remarks by Seána Cunningham, Director of Enforcement &amp; Anti-Money Laundering

                            ",https://www.centralbank.ie/news/article/speech-enhancements-to-administrative-sanctions-procedure-seana-cunningham-05-july-2023
Vasileios Madouros,29 June 2023,"

                                Corporate Performance and resilience in a high inflation environment - remarks by Vasileios Madouros, Deputy Governor, Monetary and Financial Stability

                            ",https://www.centralbank.ie/news/article/corporate-performance-and-resilience-in-a-high-inflation-environment---remarks-by-vasileios-madouros-deputy-governor-monetary-and-financial-stability
Gerry Cross,22 June 2023,"

                                Insurance, regulation, and the transition to a net zero economy – Remarks by Gerry Cross, Director of Financial Regulation, Policy &amp; Risk

                            ",https://www.centralbank.ie/news/article/speech-insurance-regulation-and-the-transition-to-a-net-zero-economy-remarks-by-gerry-cross-director-financial-regulation-policy-and-risk-22-jun-2023
Sharon Donnery,12 June 2023,"

                                “Much done, much more to do – climate risks and the banking sector” – Remarks by Deputy Governor Sharon Donnery

                            ",https://www.centralbank.ie/news/article/much-done-much-more-to-do-climate-risks-and-the-banking-sector-remarks-by-deputy-governor-sharon-donnery-12-june-2023
Governor Gabriel Makhlouf,07 June 2023,"

                                Opening address Financial Stability Review 2023:I – Governor Gabriel Makhlouf

                            ",https://www.centralbank.ie/news/article/speech-opening-address-financial-stability-review-2023-i-governor-gabriel-makhlouf
Gerry Cross,01 June 2023,"

                                The Individual Accountability Framework: What it means for Directors - Remarks by Gerry Cross, Director of Financial Regulation, Policy &amp; Risk

                            ",https://www.centralbank.ie/news/article/speech-individual-accountability-framework-what-it-means-for-directors-gerry-cross-1-june-2023
Gerry Cross,30 May 2023,"

                                ""The evolving crypto landscape - towards the implementation of MiCA"" - Remarks by Gerry Cross, Director of Financial Regulation, Policy &amp; Risk

                            ",https://www.centralbank.ie/news/article/the-evolving-crypto-landscape-towards-the-implementation-of-mica-remarks-by-gerry-cross-30-may-2023
Gabriel Makhlouf,27 May 2023,"

                                Monetary and Fiscal Policy in Times of Inflation - Remarks by Governor Gabriel Makhlouf at the Dubrovnik Economic Conference

                            ",https://www.centralbank.ie/news/article/speech-monetary-and-fiscal-policy-in-times-of-inflation---remarks-by-governor-gabriel-makhlouf-at-the-dubrovnik-economic-conference-27-may-2023
Seana Cunningham,25 May 2023,"

                                “Preventing Financial Crime in a Rapidly Changing Environment: A Regulator’s View” - Remarks by Seána Cunningham, Director of Enforcement and Anti-Money Laundering, at European Anti-Financial Crime Summit

                            ",https://www.centralbank.ie/news/article/preventing-financial-crime-in-a-rapidly-changing-environment-a-regulator-s-view-remarks-by-se%C3%A1na-cunningham-director-of-enforcement-and-anti-money-laundering-at-european-anti-financial-crime-summit-25-may-2023
Vasileios Madouros,16 May 2023,"

                                Building resilience in markets - Remarks by Deputy Governor Vasileios Madouros

                            ",https://www.centralbank.ie/news/article/building-resilience-in-markets-remarks-by-deputy-governor-vasileios-madouros-16-may-2023
Gabriel Makhlouf,16 May 2023,"

                                Geoeconomic fragmentation from a small open economy perspective - address by Governor Gabriel Makhlouf to the Global Interdependence Centre Conference

                            ",https://www.centralbank.ie/news/article/speech-geoeconomic-fragmentation-from-a-small-open-economy-perspective-address-by-governor-makhlouf-at-the-global-interdependence-centre-conference
Sharon Donnery,24 April 2023,"

                                Welcoming #IrelandEU50 and Commissioner Mairead McGuinness - opening remarks by Deputy Governor Sharon Donnery

                            ",https://www.centralbank.ie/news/article/speech-ireland-eu-50-commissioner-mairead-mcguinness-sharon-donnery-20-april-2023
Gabriel Makhlouf,21 April 2023,"

                                Opening Remarks by Governor Gabriel Makhlouf at the Central Bank's Financial Industry Forum

                            ",https://www.centralbank.ie/news/article/opening-remarks-by-governor-gabriel-makhlouf-at-the-central-bank's-financial-industry-forum-21-april-2023
Gabriel Makhlouf,20 April 2023,"

                                Opening Statement by Governor Gabriel Makhlouf at the Public Accounts Committee

                            ",https://www.centralbank.ie/news/article/opening-statement-by-governor-gabriel-makhlouf-at-the-public-accounts-committee-20-april-2023
Domhnall Cullinan,18 April 2023,"

                                Address by Director of Insurance Supervision, Domhnall Cullinan, to the Insurance Ireland-Milliman CRO Forum

                            ",https://www.centralbank.ie/news/article/speech-insurance-ireland-milliman-cro-forum-domhnall-cullinan-18-Apr-2023
Derville Rowland,18 April 2023,"

                                Enhanced governance, performance and accountability in financial services: the Individual Accountability Framework - address by Deputy Governor Derville Rowland

                            ",https://www.centralbank.ie/news/article/speech-derville-rowland-enhanced-governance-performance-and-accountability-in-financial-services-18-april-2023
Governor Gabriel Makhlouf,04 April 2023,"

                                Staying the course: monetary policy to avoid persistent inflation - Remarks by Governor Gabriel Makhlouf

                            ",https://www.centralbank.ie/news/article/staying-the-course-monetary-policy-to-avoid-persistent-inflation-4-april-2023
Elaine Byrne,30 March 2023,"

                                Remarks by Elaine Byrne, Registrar of Credit Unions, to the CUMA 2023 Spring Conference

                            ",https://www.centralbank.ie/news/article/remarks-by-elaine-byrne-registrar-of-credit-unions-to-the-cuma-conference-31-march-2023
Gerry Cross,28 March 2023,"

                                ""Implementing DORA - Achieving enhanced digital operational resilience in European financial services"" - Remarks by Gerry Cross, Director of Financial Regulation, Policy &amp; Risk

                            ",https://www.centralbank.ie/news/article/implementing-dora-gerry-cross-28-march-2023
Vasileios Madouros,22 March 2023,"

                                Opening Statement by Vasileios Madouros, Deputy Governor, Monetary and Financial Stability at the Oireachtas Select Committee on Budgetary Oversight

                            ",https://www.centralbank.ie/news/article/speech-vasileios-madouros-oireachtas-select-committee-on-budgetary-oversight-22-march-2023
Gerry Cross,22 March 2023,"

                                “Review of the Consumer Protection Code: securing customers’ interests” - Remarks by Gerry Cross, Director of Financial Regulation – Policy &amp; Risk at Insurance Ireland - KPMG Briefing Session

                            ",https://www.centralbank.ie/news/article/speech-review-of-the-consumer-protection-code-insurance-ireland-kpmg-gerry-cross-22-march-2023
Derville Rowland,10 March 2023,"

                                “The importance of enhanced diversity and inclusion within the financial services sector” - Remarks by Deputy Governor Derville Rowland at Walkers Ireland

                            ",https://www.centralbank.ie/news/article/diversity-and-inclusion-within-the-financial-services-sector-remarks-by-deputy-governor-derville-rowland-at-walkers-ireland
William Molloy,23 February 2023,"

                                Opening Statement by Will Molloy, Director of Financial Operations at the Dáil Committee of Public Accounts

                            ",https://www.centralbank.ie/news/article/speech-opening-statement-by-will-molloy-director-of-financial-operations-at-the-d%C3%A1il-committee-of-public-accounts-23-Feb-2023
Gabriel Makhlouf,16 February 2023,"

                                ""Central Banks, economic stability and social capital: what’s the connection?"" - Remarks by Governor Gabriel Makhlouf at the London School of Economics

                            ",https://www.centralbank.ie/news/article/remarks-by-governor-gabriel-makhlouf-at-the-london-school-of-economics-16-february-2023
Sharon Donnery,15 February 2023,"

                                ""Navigating organisations through uncertainty and change” - Remarks by Deputy Governor Sharon Donnery at Institute of Directors

                            ",https://www.centralbank.ie/news/article/navigating-organisations-through-uncertainty-and-change---remarks-by-deputy-governor-sharon-donnery-at-institute-of-directors
Gabriel Makhlouf,14 February 2023,"

                                Opening Remarks by Governor Gabriel Makhlouf at the Hertie School, Berlin

                            ",https://www.centralbank.ie/news/article/opening-remarks-by-governor-gabriel-makhlouf-at-the-hertie-school-berlin
Vasileios Madouros,09 February 2023,"

                                Returning to Price Stability - Remarks by Deputy Governor Vasileios Madouros at the University of Limerick

                            ",https://www.centralbank.ie/news/article/returning-to-price-stability-remarks-by-deputy-governor-vasileios-madouros-at-the-university-of-limerick-9-february-2023
Gabriel Makhlouf,25 January 2023,"

                                Opening Statement by Gabriel Makhlouf, Governor of the Central Bank of Ireland at the Joint Committee on Finance, Public Expenditure and Reform, and Taoiseach

                            ",https://www.centralbank.ie/news/article/opening-statement-by-governor-makhlouf-at-joc-on-finance-public-expenditure-and-reform-and-taoiseach
Vasileios Madouros,07 December 2022,"

                                Remarks by Deputy Governor Vasileios Madouros at Society of Chartered Surveyors Ireland

                            ",https://www.centralbank.ie/news/article/remarks-deputy-governor-vasileios-madouros-at-scsi-7-december-2022
Patricia-Dunne_testimonial_756x350,06 December 2022,"

                                Remarks by Director of Securities and Markets Supervision, Patricia Dunne, at PwC event

                            ",https://www.centralbank.ie/news/article/speech-by-patricia-dunne-at-pwc-event-6-december-2022
Gerry Cross,06 December 2022,"

                                Remarks by Gerry Cross, Director of Financial Regulation - Policy and Risk to the BPFI Mortgage Market Council

                            ",https://www.centralbank.ie/news/article/remarks-by-gerry-cross-director-of-financial-regulation---policy-and-risk-to-the-irish-mortgage-market-council
Governor Gabriel Makhlouf,05 December 2022,"

                                What’s Over the Horizon? Monetary Policy in 2023 and Beyond - Remarks by Governor Makhlouf at IIEA Dublin

                            ",https://www.centralbank.ie/news/article/what-s-over-the-horizon-monetary-policy-in-2023-and-beyond-5-december-2022
Mary Elizabeth McMunn,30 November 2022,"

                                Remarks by Mary-Elizabeth McMunn Director of Credit Institutions Supervision at Federation of International Banks in Ireland annual conference

                            ",https://www.centralbank.ie/news/article/remarks-by-mary-elizabeth-mcmunn-director-of-credit-institutions-supervision-at-federation-of-international-banks-in-ireland-annual-conference
Gabriel Makhlouf,30 November 2022,"

                                Remarks by Gabriel Makhlouf at Leaders of the Future – Leveraging Digital Change Conference

                            ",https://www.centralbank.ie/news/article/remarks-by-gabriel-makhlouf-at-leaders-of-the-future-leveraging-digital-change-conference
Governor Gabriel Makhlouf,24 November 2022,"

                                Remarks by Governor Makhlouf on the publication of the Financial Stability Review 2022:2

                            ",https://www.centralbank.ie/news/article/remarks-governor-makhlouf-fsr-2022-2-24-november-2022
Derville Rowland,24 November 2022,"

                                “Breaking new ground: regulating for emerging risks” Remarks by Derville Rowland, Deputy Governor, Consumer and Investor Protection at the Annual Irish Funds UK Symposium

                            ",https://www.centralbank.ie/news/article/breaking-new-ground-regulating-for-emerging-risks-speech-by-derville-rowland-deputy-governor-consumer-and-investor-protection-at-the-annual-irish-funds-uk-symposium
Gabriel Makhlouf,23 November 2022,"

                                Centenary of the Establishment of the Irish State -Remarks by Governor Gabriel Makhlouf

                            ",https://www.centralbank.ie/news/article/centenary-of-the-establishment-of-the-irish-state--remarks-by-governor-gabriel-makhlouf
Sharon Donnery,17 November 2022,"

                                ‘Charting the course - leading financial services through complexity and change’ - Remarks by Deputy Governor Sharon Donnery at Financial Services Ireland Annual Dinner

                            ",https://www.centralbank.ie/news/article/charting-the-course-leading-financial-services-through-complexity-and-change-remarks-by-deputy-governor-sharon-donnery-at-financial-services-ireland-annual-dinner-16-nov-2022
Governor Gabriel Makhlouf,16 November 2022,"

                                Monetary policy, regulation and inequality: a tale of inter-linkages - Remarks by Governor Makhlouf at Social Justice Ireland

                            ",https://www.centralbank.ie/news/article/monetary-policy-regulation-and-inequality-a-tale-of-inter-linkages-remarks-by-governor-makhlouf-at-social-justice-ireland-16-november-2022
Derville Rowland,14 November 2022,"

                                Remarks by Derville Rowland, Deputy Governor, at Asset Management Sustainable Finance Seminar

                            ",https://www.centralbank.ie/news/article/remarks-by-derville-rowland-deputy-governor-at-asset-management-sustainable-finance-seminar-14-november-2022
Colm Kincaid,10 November 2022,"

                                Remarks by Director of Consumer Protection Colm Kincaid at Compliance Institute Annual Conference

                            ",https://www.centralbank.ie/news/article/remarks-by-director-of-consumer-protection-colm-kincaid-at-compliance-institute-annual-conference
Sharon Donnery,10 November 2022,"

                                ""Inflation and labour market dynamics after the pandemic"" - Sharon Donnery at 10th Annual Donal Nevin Lecture

                            ",https://www.centralbank.ie/news/article/inflation-and-labour-market-dynamics-after-the-pandemic-donal-nevin-annual-lecture-10-november-2022
Governor-Blog-13-WebBanner-756x350,02 November 2022,"

                                The Central Bank’s Regulatory Philosophy: Regulating for stability and positive outcomes- Remarks by Governor Gabriel Makhlouf at the Financial System Conference

                            ",https://www.centralbank.ie/news/article/remarks-by-governor-makhlouf-at-financial-system-conference-2-november-2022
Derville Rowland,02 November 2022,"

                                Remarks by Derville Rowland, Deputy Governor, at Financial System Conference

                            ",https://www.centralbank.ie/news/article/speech-derville-rowland-financial-system-conference-02-November-2022
Mark Cassidy,24 October 2022,"

                                Remarks by Acting Deputy Governor Mark Cassidy at Luke Kelly Collector Coin Launch

                            ",https://www.centralbank.ie/news/article/remarks-by-acting-deputy-governor-mark-cassidy-at-luke-kelly-collector-coin-launch-24-october-2022
Governor Gabriel Makhlouf,19 October 2022,"

                                ""A refreshed framework for our macroprudential mortgage measures"" - Remarks by Governor Makhlouf

                            ",https://www.centralbank.ie/news/article/a-refreshed-framework-for-our-macroprudential-mortgage-measures-remarks-by-governor-makhlouf-19-october-2022
Governor-Blog,18 October 2022,"

                                Remarks by Governor Gabriel Makhlouf at The Economist 18th Annual Cyprus Summit

                            ",https://www.centralbank.ie/news/article/remarks-by-governor-gabriel-makhlouf-at-the-economist-18th-annual-cyprus-summit
Sharon Donnery,18 October 2022,"

                                No time to wait: Addressing Climate Risk in the Financial System today – Remarks by Sharon Donnery, Deputy Governor, Central Bank of Ireland and Member of the Supervisory Board of the ECB, at Climate Finance Week 2022

                            ",https://www.centralbank.ie/news/article/no-time-to-wait-addressing-climate-risk-in-the-financial-system-today-18-october-2022
Mark Cassidy,06 October 2022,"

                                “Economic outlook and the importance of applying a distributional lens” Remarks by Acting Deputy Governor Mark Cassidy at The Business Show

                            ",https://www.centralbank.ie/news/article/economic-outlook-and-the-importance-of-applying-a-distributional-lens-remarks-by-acting-deputy-governor-mark-cassidy-at-the-business-show
Domhnall Cullinan,06 October 2022,"

                                Insurance supervision in an uncertain environment - Remarks by Domhnall Cullinan, Director of Insurance Supervision, at Financial Services Ireland

                            ",https://www.centralbank.ie/news/article/insurance-supervision-in-an-uncertain-environment-remarks-by-domhnall-cullinan-director-of-insurance-supervision-at-financial-services-ireland-6-october-2022
Governor Gabriel Makhlouf,03 October 2022,"

                                Remarks by Governor Makhlouf at the launch of the Consumer Protection Discussion Paper

                            ",https://www.centralbank.ie/news/article/remarks-by-governor-makhlouf-at-the-launch-of-the-consumer-protection-discussion-paper-3-october-2022
Governor Gabriel Makhlouf,15 September 2022,"

                                Looking through the waves: the value of resilience - Remarks by Governor Gabriel Makhlouf at Dublin Chamber of Commerce

                            ",https://www.centralbank.ie/news/article/speech-governor-makhlouf-at-dublin-chamber-of-commerce-14-september-2022
Governor Gabriel Makhlouf,19 July 2022,"

                                Remarks by Governor Gabriel Makhlouf at Consulate General of Ireland and IHK Frankfurt event

                            ",https://www.centralbank.ie/news/article/speech-governor-makhlouf-event-consulate-general-ireland-ihk-frankfurt-19-june-2022
Gerry Cross,24 June 2022,"

                                Individual accountability – a maturing of financial regulation - Speech by Gerry Cross, Director of Financial Regulation: Policy and Risk, at Arthur Cox Client Seminar

                            ",https://www.centralbank.ie/news/article/speech-gerry-cross-at-arthur-cox-seminar-23-may-2022
Governor Gabriel Makhlouf,16 June 2022,"

                                Insuring for our Future - Remarks by Governor Gabriel Makhlouf at Insurance Ireland’s Annual Industry Lunch

                            ",https://www.centralbank.ie/news/article/speech-gabriel-makhlouf-insuring-for-our-future-insurance-ireland-annual-industry-lunch-16-june-2022
Gabriel Makhlouf,15 June 2022,"

                                Remarks by Governor Gabriel Makhlouf on the publication of the Financial Stability Review 2022:1

                            ",https://www.centralbank.ie/news/article/speech-governor-makhlouf-fsr-2022-1-15-june-2022
Gabriel Makhlouf,01 June 2022,"

                                Climate Change: Avoiding the 'Do I Feel Lucky?' school of policymaking - Remarks by Governor Gabriel Makhlouf at Chatham House's Waddesdon Club of Financial Leaders

                            ",https://www.centralbank.ie/news/article/speech-gabriel-makhlouf-chatham-house-waddesdon-club-of-financial-leaders-01-june-2022
Governor Gabriel Makhlouf,31 May 2022,"

                                ""Funds - facing the future""-Remarks by Governor Gabriel Makhlouf at Irish Funds Conference

                            ",https://www.centralbank.ie/news/article/speech-gabriel-maklouf-irish-funds-conference-31-may-2022
Gerry Cross,31 May 2022,"

                                Blockchain, cryptography, and financial services: a regulatory perspective - Speech by Gerry Cross, Director of Financial Regulation: Policy &amp; Risk, at Blockchain Ireland Week 2022

                            ",https://www.centralbank.ie/news/article/speech-gerry-cross-at-blockchain-ireland-week-31-may-2022
Gabriel Makhlouf,12 May 2022,"

                                ""Time to Act - Monetary Policy and Inflation""-Remarks by Governor Gabriel Makhlouf at IBEC National Council

                            ",https://www.centralbank.ie/news/article/remarks-governor-makhlouf-at-ibec-national-council-12-may-2022
Governor Gabriel Makhlouf,11 May 2022,"

                                Remarks by Governor Gabriel Makhlouf at the Financial Industry Forum

                            ",https://www.centralbank.ie/news/article/remarks-governor-makhlouf-financial-industry-forum-11-May-2022
Sharon Donnery,06 May 2022,"

                                Remarks by Deputy Governor Sharon Donnery to the Irish Economic Association Annual Conference, on the occasion of the Irish Society for Women in Economics (ISWE) Launch

                            ",https://www.centralbank.ie/news/article/remarks-by-deputy-governor-sharon-donnery-to-the-irish-economic-association-annual-conference-on-the-occasion-of-the-irish-society-for-women-in-economics-(iswe)-launch-5-may-2022
Vasileios Madouros,27 April 2022,"

                                Closing remarks by Director for Financial Stability, Vasileios Madouros, at the Central Bank Conference to inform the 2021-2022 mortgage measures framework review

                            ",https://www.centralbank.ie/news/article/speech-vasileios-madouros-central-bank-conference-on-mortgage-measures-framework-review-27-april-2022
Derville Rowland,27 April 2022,"

                                ""The importance of effective governance, culture, and agility in a changing environment"" - Remarks by Derville Rowland, Director General Financial Conduct, at the Institute of Banking/Compliance Institute seminar

                            ",https://www.centralbank.ie/news/article/the-importance-of-effective-governance-culture-and-agility-in-a-changing-environment---remarks-by-derville-rowland-director-general-financial-conduct-at-the-institute-of-banking-compliance-institute-seminar-27-april-2022
Sharon Donnery,26 April 2022,"

                                Opening remarks by Deputy Governor Sharon Donnery at the Central Bank Conference to inform the 2021-2022 mortgage measures framework review

                            ",https://www.centralbank.ie/news/article/speech-sharon-donnery-conference-to-inform-mortgage-measures-framework-review-26-april-2022
Patrick Casey,23 April 2022,"

                                Remarks by Registrar of Credit Unions, Patrick Casey at ILCU 2022 AGM

                            ",https://www.centralbank.ie/news/article/speech-remarks-by-registrar-of-credit-unions-patrick-casey-at-ilcu-2022-agm
Governor Gabriel Makhlouf,01 April 2022,"

                                Rebuilding Social Capital: the role of Central Banks remarks by Governor Gabriel Makhlouf at the 175th Anniversary of Banco de Portugal

                            ",https://www.centralbank.ie/news/article/speech-gabriel-makhlouf-rebuilding-social-capital-the-role-of-central-banks-01-april-2022
Gerry Cross,30 March 2022,"

                                Opening Statement by Gerry Cross, Director, Financial Regulation - Policy &amp; Risk at Joint Oireachtas Committee on Finance, Public Expenditure and Reform, and Taoiseach

                            ",https://www.centralbank.ie/news/article/speech-gerry-cross-joint-oireachtas-committee-finance-public-expenditure-and-reform-and-taoiseach-30-march-2022
Governor Gabriel Makhlouf,30 March 2022,"

                                Opening Statement by Governor Gabriel Makhlouf at Joint Oireachtas Committee on Finance, Public Expenditure and Reform, and Taoiseach

                            ",https://www.centralbank.ie/news/article/speech-gabriel-makhlouf-joint-oireachtas-committee-on-finance-public-expenditure-and-reform-and-taoiseach-30-march-2022
Mark Cassidy,23 March 2022,"

                                Opening Statement by Mark Casidy, Director of Economics &amp; Statistics at Oireachtas Select Committee on Budgetary Oversight

                            ",https://www.centralbank.ie/news/article/opening-statement-by-mark-casidy-at-oireachtas-select-committee-23-Mar-2022
Sharon Donnery,21 March 2022,"

                                Closing remarks by Deputy Governor Sharon Donnery at joint Central Bank of Ireland, European Investment Bank, ESRI conference, “Business Finance &amp; Investment: Recovering from the Pandemic, Preparing for Future Challenges”

                            ",https://www.centralbank.ie/news/article/closing-remarks--deputy-governor-sharon-donnery-business-finance-investment-recovering-from-the-pandemic-preparing-for-future-challenges-21-march-2022
Governor Gabriel Makhlouf,21 March 2022,"

                                “Business Finance &amp; Investment: recovering from the pandemic, preparing for future challenges” - Remarks by Governor Gabriel Makhlouf at joint Central Bank of Ireland, European Investment Bank, ESRI conference.

                            ",https://www.centralbank.ie/news/article/opening-remarks--governor-gabriel-makhlouf-at-business-finance-investment-recovering-from-the-pandemic-preparing-for-future-challenges-21-march-2022
Derville Rowland,11 March 2022,"

                                “The role of financial regulation in building resilience, anticipating risk, and protecting citizens – in steady times and through shocks” - Speech by Director General, Financial Conduct, Derville Rowland

                            ",https://www.centralbank.ie/news/article/speech-derville-rowland-role-of-financial-regulation-in-building-resilience-anticipating-risk-and-protecting-citizens-in-steady-times-and-through-shocks-10-march-2022
Derville Rowland,09 March 2022,"

                                'Changing individual behaviour and culture in financial services' - Speech by Director General, Financial Conduct Derville Rowland

                            ",https://www.centralbank.ie/news/article/speech-derville-rowland-changing-individual-behaviour-and-culture-in-financial-services-09-march-2022
Patrick Casey,07 March 2022,"

                                Remarks by Registrar of Credit Unions, Patrick Casey at CUDA 2022 Annual Conference

                            ",https://www.centralbank.ie/news/article/remarks-by-registrar-of-credit-unions-patrick-casey-at-cuda-2022-annual-conference
Gerry Cross,21 February 2022,"

                                “The spirit in the machine: considering evolving financial regulation” – Remarks by Gerry Cross, Director of Financial Regulation – Policy Risk, at the Compliance Institute

                            ",https://www.centralbank.ie/news/article/speech-by-gerry-cross-at-compliance-institute-21-february-2022
Governor Gabriel Makhlouf,17 February 2022,"

                                Trends and Transitions: an Irish perspective on global and European regulation - Remarks by Governor Makhlouf to the European Financial Forum

                            ",https://www.centralbank.ie/news/article/speech-gabriel-makhlouf-trends-and-transitions-an-irish-perspective-on-global-and-european-regulation-17-february-2022
Gabriel Makhlouf,24 January 2022,"

                                ""The economic outlook for the year ahead"" - Remarks by Governor Makhlouf to the Institute of Directors

                            ",https://www.centralbank.ie/news/article/the-economic-outlook-for-the-year-ahead-remarks-by-governor-makhlouf-to-the-institute-of-directors-24-january-2022
